Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Nov 15 2021 12:06:38 GMT+0000 (Greenwich Mean Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,People Receiving a Booster Dose,Total People Receiving a Booster Dose,7-Day Average Daily Count Booster
Report,2020-12-13,US,,,,,,,0,0,,,,N/A,N/A,N/A
Admin,2020-12-14,US,4315,4179,25235,21989,10995,12617,,,96,3837,1918,0,0,0
Report,2020-12-14,US,,,,,,,509,255,,,,N/A,N/A,N/A
Admin,2020-12-15,US,48650,46460,73885,68449,22816,24628,,,185,4022,1340,0,0,0
Report,2020-12-15,US,,,,,,,12129,4213,,,,N/A,N/A,N/A
Admin,2020-12-16,US,158733,153313,232618,221762,55441,58154,,,374,4396,1099,0,0,0
Report,2020-12-16,US,,,,,,,38996,12909,,,,N/A,N/A,N/A
Admin,2020-12-17,US,270555,263542,503173,485304,97061,100634,,,548,4944,988,0,0,0
Report,2020-12-17,US,,,,,,,75708,25468,,,,N/A,N/A,N/A
Admin,2020-12-18,US,413350,404837,916523,890141,148357,152753,,,960,5904,984,0,0,0
Report,2020-12-18,US,,,,,,,126800,42357,,,,N/A,N/A,N/A
Admin,2020-12-19,US,180939,177176,1097462,1067317,152474,156780,,,943,6847,978,0,0,0
Report,2020-12-19,US,,,,,,,187508,63093,,,,N/A,N/A,N/A
Admin,2020-12-20,US,104265,102379,1201727,1169696,164555,168686,,,642,7489,535,0,0,0
Report,2020-12-20,US,,,,,,,209853,93072,,,,N/A,N/A,N/A
Admin,2020-12-21,US,380686,374329,1582413,1544025,217434,222454,,,1148,8637,685,0,0,0
Report,2020-12-21,US,,,,,,,149957,114422,,,,N/A,N/A,N/A
Admin,2020-12-22,US,448422,439887,2030835,1983912,273638,279564,,,2443,11080,1008,0,0,0
Report,2020-12-22,US,,,,,,,189722,139792,,,,N/A,N/A,N/A
Admin,2020-12-23,US,572104,560646,2602939,2544558,331828,338617,,,2045,13125,1247,0,0,0
Report,2020-12-23,US,,,,,,,368173,186817,,,,N/A,N/A,N/A
Admin,2020-12-24,US,195725,190911,2798664,2735469,321452,327927,,,903,14028,1297,0,0,0
Report,2020-12-24,US,,,,,,,338436,224350,,,,N/A,N/A,N/A
Admin,2020-12-25,US,12645,12513,2811309,2747982,265406,270683,,,85,14113,1172,0,0,0
